REGIÓN;NOMBRE;SUBTIPO;CONTENIDO
Lima;Museo Naval Casa Grau ;Casas Museo;"""Museo dedicado al almirante Miguel Grau, héroe naval del Perú."""
Lima;Palacio Legislativo;Palacio;"""Sede del Congreso del Perú, ejemplo de arquitectura republicana monumental."""
Lima;Museo Central - Mucen (Museo Del Banco Central De Reserva Del Perú);Museos;"""Museo del Banco Central que conserva piezas de arte precolombino y colonial."""
Lima;Templo De San Francisco De Asís;Templo;"""Iglesia colonial ubicada en el centro de Huánuco, con retablo barroco interior."""
Huánuco;Parque Nacional Tingo María ;Parques Nacionales;"""Parque natural famoso por su cueva de las lechuzas y biodiversidad amazónica."""
Moquegua;Aguas Termales De Putina;Otros;"""Baños termales de aguas sulfurosas conocidos por sus propiedades medicinales."""
Áncash;Fiesta Patronal El Agua Y San Pedro;Fiestas religiosas-patronales;"""Fiesta que celebra el agua como fuente de vida y al apóstol San Pedro."""
Áncash;Quebrada Cojup;Quebradas;"""Quebrada glaciar cerca de Huaraz, ruta popular para trekking."""
Áncash;Quebrada Llaca;Quebradas;"""Valle glaciar rodeado de nevados y popular entre montañistas."""
Áncash;Laguna Reparin;Lagunas;"""Laguna de aguas turquesas ubicada en la Cordillera Blanca."""
Áncash;Corpus Cristi - Chacas;Fiestas religiosas-patronales;"""Fiesta religiosa que combina procesiones, danzas y música tradicional en Chacas."""
Áncash;Nevado San Juan - Parque Nacional Huascarán ;Nevado;"""Nevado de la Cordillera Blanca ideal para expediciones de montaña."""
Puno;Comunidad De Llachon;Tradicionales;"""Comunidad tradicional del lago Titicaca conocida por su artesanía textil."""
Áncash;Nevado Ocshapalca;Nevado;"""Nevado imponente ideal para escalada técnica en la Cordillera Blanca."""
Piura;Museo Etnológico;Museos;"""Museo que muestra objetos y tradiciones de comunidades andinas y amazónicas."""
Piura;Playa De Chulliyachi;Playas;"""Playa poco conocida de la costa norte peruana de arena oscura y fuerte oleaje."""
Piura;Festividad Del Señor Cautivo De Ayabaca;Fiestas religiosas-patronales;"""Festividad religiosa que congrega a miles de devotos en Ayabaca."""
Ayacucho;Templo Del Señor De Amancaes - Conchopata;Templo;"""Iglesia de adobe que guarda al Señor de Amancaes, patrón de Conchopata."""
Ayacucho;Iglesia San Pedro Matriz De Huanta;Iglesias;"""Iglesia matriz de Huanta con fachada colonial e historia republicana."""
Lambayeque;Playa Hondos;Playas;"""Playa de aguas tranquilas en el sur de Tacna ideal para familias."""
Lambayeque;Alforjas Labradas De Monsefú;Otros;"""Artesanía textil de Monsefú con diseños tradicionales y finos acabados."""
Piura;Cerro Yambur;Cerros;"""Cerro andino frecuentado por caminantes y observadores de aves."""
Tacna;Playa Los Palos;Playas;"""Playa al sur de Tacna con arenas claras y paisaje costero desértico."""
San Martín;Cascada De Asnacyacu ;Cascadas;"""Cascada rodeada de vegetación tropical en San Martín."""
San Martín;Catarata De Huacamaillo;Cataratas;"""Cascada cercana a Tarapoto con poza natural para bañistas."""
San Martín;Cueva De Los Huacharos ;Grutas;"""Cueva con gran biodiversidad y especies endémicas en San Martín."""
San Martín;Aguas Termales Y Sulfurosas De Jepelacio;Ojos de agua;"""Baños termales sulfurosos rodeados de selva alta en Moyobamba."""
San Martín;Embarcadero Turístico De Tahuishco;Puertos;"""Embarcadero en el río Mayo, punto de partida para tours fluviales."""
Ica;Petroglifos De Huáncor;Petroglifos (Grabados en piedra);"""Grabados rupestres con figuras geométricas y animales en Huancavelica."""
Ica;Bodega Tacama;Bodegas de pisco, vinos y/u otros licores;"""Antigua bodega de vino y pisco, considerada la más antigua de Sudamérica."""
Ica;Ciudadela De Huayuri;Ciudadelas;"""Restos arqueológicos de una ciudadela preincaica en el desierto de Ica."""
Ica;Necrópolis De Chauchilla;Zonas arqueológicas;"""Necrópolis preincaica famosa por sus fardos funerarios intactos."""
Ica;Centro Administrativo Inca Los Paredones;Templos;"""Centro inca usado para administración y control del valle de Nazca."""
Puno;Chucuito Ciudad De Las Cajas Reales;Históricos;"""Pueblo histórico conocido como 'Ciudad de las Cajas Reales'."""
Puno;Piscicultura De Chucuito - Centro De Investigación Y Producción Pesquera De Chucuito.;Piscigranja;"""Centro de investigación para la reproducción de especies nativas del Titicaca."""
Puno;Vicuñas De Cala Cala, Cambria Y Picotani;Granadería;"""Áreas donde se puede observar vicuñas en su hábitat natural altoandino."""
Puno;Templo De San Salvador;Iglesias;"""Iglesia colonial de Cusco con retablos barrocos de madera tallada."""
Puno;Archipielago De Wiñaymarca;Islas;"""Conjunto de islas en el lago Titicaca compartidas por Perú y Bolivia."""
Áncash;Laguna Purhuay;Lagunas;"""Laguna de aguas cristalinas ideal para camping y pesca deportiva."""
Áncash;Baños Termales De Chavín;Otros;"""Baños termales ubicados cerca del centro ceremonial de Chavín."""
Áncash;Danza Duende, Pallas Y Auqas;Música y Danzas;"""Danzas festivas que combinan máscaras, música y pasos rituales."""
Áncash;Quebrada Carhuascancha;Quebradas;"""Quebrada altoandina con pastizales y vistas a nevados."""
Áncash;Laguna Canchiscocha;Lagunas;"""Laguna ubicada en la Cordillera Blanca rodeada de bosques de queñual."""
Áncash;Puchero De San Nicolás;Platos Típicos;"""Guiso tradicional de fiesta preparado con carne, tubérculos y hierbas locales."""
Áncash;Mirador Natural De Portachuelo - Llanganuco;Miradores naturales;"""Mirador natural con vista panorámica de los nevados de Llanganuco."""
Áncash;Carnaval Huaracino;Fiestas Tradicionales(Herranza, carnavales, otros);"""Fiesta popular con desfiles, comparsas, música y coloridas danzas."""
Huánuco;Catedral De Huánuco;Catedral;"""Catedral neoclásica de Huánuco con retablos dorados y arte religioso colonial."""
Áncash;Danza Paso Huanquilla;Música y Danzas;"""Danza tradicional de Huánuco con movimientos enérgicos y trajes coloridos."""
Áncash;Yuyo Pichu;Platos Típicos;"""Montaña andina poco conocida ideal para senderismo y paisajes naturales."""
La Libertad;Complejo Arqueológico San José De Moro;Zonas arqueológicas;"""Centro ceremonial moche destacado por sus impresionantes entierros de sacerdotisas."""
San Martín;Cascada De Paccha;Cascadas;"""Cascada de varios metros de altura rodeada de vegetación andina."""
Lambayeque;Museo Nacional De Sicán;Museos;"""Museo que conserva máscaras funerarias de oro y cerámica de la cultura Sicán."""
Arequipa;Cuevas De Mollepunku;Pintura Rupestre;"""Cuevas con pinturas rupestres y formaciones rocosas singulares en Arequipa."""
Arequipa;Pueblo De  Sibayo;Tradicionales;"""Pueblo de piedra con puentes coloniales y tradiciones ganaderas en Arequipa."""
Huancavelica;Complejo Minero Santa Bárbara;Explotaciones mineras;"""Antiguo centro minero colonial de plata y mercurio en Huancavelica."""
San Martín;Catarata El Breo;Cataratas;"""Imponente catarata amazónica de más de 140 metros de altura en San Martín."""
San Martín;Cascada Timón;Cascadas;"""Cascada en forma de velo situada en la región San Martín."""
San Martín;Quebrada Churo - Parte Baja;Quebradas;"""Quebrada tropical con flora diversa y senderos para caminatas."""
San Martín;Centro De Interpretación Del Parque Nacional Río Abiseo;Otros;"""Espacio educativo sobre biodiversidad y cultura del Parque Nacional Río Abiseo."""
San Martín;Manantial De Sacanche;Manantiales;"""Manantial natural de aguas cristalinas rodeado de vegetación amazónica."""
Tumbes;Manglares De Tumbes Sector Puerto Pizarro;Manglares;"""Bosque costero de manglares con rutas en bote cerca de Tumbes."""
Amazonas;Sitio Arqueológico Karajía;Cementerios;"""Estatuas funerarias de piedra pertenecientes a la cultura Chachapoyas."""
Apurímac;Centro De Conservación De Vicuñas De Lliullita  ;Granadería;"""Centro dedicado a la protección y manejo sostenible de vicuñas."""
Apurímac;Sitio Arqueológico De Curamba;Zonas arqueológicas;"""Complejo incaico construido en piedra en las alturas de Apurímac."""
Apurímac;Templo Nuestra Señora De Las Mercedes De Pampamarca;Templo;"""Iglesia colonial con torre de adobe ubicada en Pampamarca, Arequipa."""
Piura;Museo De Sullana Luis Cruz Merino;Museos;"""Museo que exhibe objetos arqueológicos e históricos de la provincia de Sullana."""
Madre De Dios;Lago Misisipi;Lagunas;"""Pequeño lago altoandino rodeado de ichu en la sierra norte."""
Cusco;Templo De San  Francisco De Asis;Templo;"""Iglesia colonial de adobe ubicada en el centro histórico de Huánuco."""
Cusco;Salineras De Maras;Salinas;"""Piscinas naturales de sal explotadas desde época preinca en el Valle Sagrado."""
Cusco; Complejo Arqueologico De Moray;Andenes;"""Conjunto de andenes circulares usados como laboratorio agrícola inca."""
Cusco;Templo De  Tiobamba;Templo;"""Iglesia de estilo colonial situada en el Valle Sagrado de los Incas."""
Cusco;Templo  San Juan Bautista De Huaro;Iglesias;"""Iglesia barroca cusqueña con pinturas murales del siglo XVII."""
Cusco;Capilla De La Virgen Purificada En Canicunca;Capilla;"""Pequeña capilla colonial conocida por su portada tallada en piedra."""
Cusco;Sitio Arqueológico Waqrapukara - Sector Pomacanchi;Fortalezas;"""Fortaleza incaica construida sobre un risco con vistas espectaculares."""
Cusco;Templo Colonial De Chinchero;Templo;"""Iglesia colonial con techos tallados y mercado artesanal tradicional."""
La Libertad;Complejo Arqueológico Dos Cabezas;Templos;"""Sitio arqueológico moche con restos de pirámides de adobe decoradas."""
La Libertad;Baños Termales De Yanasara;Otros;"""Baños termales rodeados de paisaje andino y pozas naturales."""
Cajamarca;Iglesia Y Convento De Las Monjas Concepcionistas Descalzas;Iglesias;"""Convento fundado en la época virreinal con claustros y retablos coloniales."""
Lima;Zona Arqueológica Puruchuco - Huaquerones;Templos;"""Zona arqueológica incaica famosa por su gran muro de adobe decorado."""
San Martín;Naciente Del Rio Tioyacu;Ríos;"""Naciente cristalina del río Tioyacu que abastece a localidades amazónicas."""
Lima;Sitio Arqueológico De Incahuasi;Templos;"""Centro administrativo incaico con plazas y recintos de piedra."""
Huánuco;Iglesia Santa Cruz De Churubamba ;Iglesias;"""Iglesia colonial de Huánuco conocida por su altar barroco."""
Pasco;Baños Termales La Calera;Otros;"""Baños termales al aire libre con aguas ricas en minerales cerca de Chivay."""
Pasco;Complejo Arqueológico De Gorish;Ciudadelas;"""Sitio arqueológico preinca con plataformas ceremoniales y recintos circulares."""
Pasco;Monumento Arqueológico Prehispánico Yarushpampa;Zonas arqueológicas;"""Restos arqueológicos en piedra usados como espacio ritual prehispánico."""
San Martín;Cueva De Cascayunga;Grutas;"""Cueva de roca caliza con restos arqueológicos en San Martín."""
Pasco;Sitio Arqueológico Ichugan;Ciudadelas;"""Complejo preincaico de la cultura Cajamarca con recintos y murallas."""
Moquegua;Templo Colonial De San Bernardo De Quinistacas;Templo;"""Iglesia colonial de piedra ubicada en Apurímac."""
Moquegua;Reloj Solar Grabado En Piedra.;Piezas con valor histórico;"""Reloj solar tallado en piedra por antiguas culturas altoandinas."""
Moquegua;Volcán Huaynaputina;Volcanes;"""Volcán activo que provocó la erupción más destructiva del siglo XVII."""
Ucayali;Laguna Pimientacocha;Lagunas;"""Laguna altoandina con aguas rojizas por minerales naturales."""
Lima;Parque Húsares De Junín De Barranco;Parques;"""Parque limeño con bustos históricos y jardines en el distrito de Barranco."""
Lima;Biblioteca Municipal Manuel Beingolea;Biblioteca;"""Biblioteca pública que conserva archivos literarios e históricos limeños."""
Lima;Parque Municipal De Barranco;Parques;"""Parque principal de Barranco rodeado de casonas y esculturas."""
Moquegua;Catedral Santo Domingo-Moquegua;Iglesias;"""Catedral neoclásica ubicada en la plaza principal de Moquegua."""
Áncash;Catarata Huambavalle;Cataratas;"""Cascada cercana al Valle Sagrado rodeada de andenes y campos agrícolas."""
Lima;Museo Nacional De Arqueología, Antropología E Historia Del Perú - Casa Quinta De Los Libertadores;Museos;"""Principal museo arqueológico del país con piezas prehispánicas únicas."""
Loreto;Fiesta Del Santo Patrono San Lorenzo;Fiestas religiosas-patronales;"""Festividad religiosa que incluye danzas y procesiones en honor a San Lorenzo."""
Lima;Mirador Del Cerro San Cristóbal;Miradores;"""Mirador con vista panorámica de Lima y cruz iluminada por la noche."""
Lima;Complejo Termal Las Gemelas;Otros;"""Baños termales con piscinas naturales alimentadas por aguas sulfurosas."""
Cajamarca;Parque Nacional Cutervo;Parques Nacionales;"""Parque nacional con cuevas de guácharos y gran biodiversidad en Cajamarca."""
San Martín;Parque Nacional Río Abiseo;Parques Nacionales;"""Área protegida que conserva selvas de neblina y restos arqueológicos."""
Ayacucho;Santuario Histórico De La Pampa De Ayacucho;Santuarios Históricos;"""Lugar histórico donde se selló la independencia del Perú en Ayacucho."""
Junín;Danza De Los Shapish De Chupaca ;Música y Danzas;"""Danza guerrera de ritmo rápido propia de Chupaca, Junín."""
Cajamarca;Bosque De Protección De Pagaibamba;Bosques de protección;"""Bosque protegido de neblina con orquídeas y aves endémicas."""
Lambayeque;Refugio De Vida Silvestre De Laquipampa;Refugio de Vida Silvestre;"""Refugio que protege al oso de anteojos y bosques secos del norte peruano."""
Lima;Teatro Municipal De Lima;Otros;"""Teatro histórico inaugurado en 1920, joya de la arquitectura republicana."""
Loreto;Parque Nacional Güeppi - Sekime;Parques Nacionales;"""Parque amazónico transfronterizo compartido con Colombia y Ecuador."""
Loreto;Reserva Nacional Allpahuayo - Mishana;Reservas Nacionales;"""Reserva famosa por su biodiversidad de plantas y fauna amazónica."""
Lima;Complejo Arqueológico Maranga;Otros;"""Complejo arqueológico en Lima de la cultura Lima y maranga."""
Lima;Museo Nacional De La Cultura Peruana;Museos;"""Museo dedicado a la artesanía y folclore de todo el Perú."""
Lima;Museo José Carlos Mariátegui;Casas Museo;"""Museo sobre la vida y obra del pensador marxista José Carlos Mariátegui."""
Lima;La Bajada De Los Baños Y Mirador;Paseos peatonales;"""Tradicional calle con escalinatas que une Barranco con el mar."""
Lima;Museo De Los Descalzos;Museos;"""Museo conventual con claustros y objetos religiosos del periodo virreinal."""
Áncash;Domingo De Cuasimodo - Carhuaz;Fiestas religiosas-patronales;"""Fiesta religiosa que marca el fin de la Pascua en Carhuaz."""
Lima;Museo De Historia Natural De La Universidad Ricardo Palma;Museos;"""Museo universitario con colecciones de flora, fauna y paleontología."""
Arequipa;Playa La Punta De Bombón;Playas;"""Playa arequipeña de gran extensión y fuerte oleaje."""
Arequipa;Malecón Ratti;Malecones;"""Malecón tradicional junto al mar en Mollendo, Arequipa."""
Arequipa;Castillo Forga;Castillo;"""Castillo de estilo neogótico construido a inicios del siglo XX."""
Arequipa;Estación Ferroviaria De Mollendo;Otros;"""Antigua estación ferroviaria que conectaba Arequipa con el puerto."""
Apurímac;Mirador Capitán Rumi;Miradores naturales;"""Mirador natural con vistas panorámicas al Valle del Colca."""
Lambayeque;Capilla De San Francisco De Asís;Capilla;"""Capilla colonial en Moquegua conocida por sus retablos dorados."""
Lima;Reserva Nacional Sistema De Islas, Islotes Y Puntas Guaneras – Isla Don Martín;Islas;"""Reserva marina con colonias de aves guaneras y lobos marinos."""
Lima;Playa Hornillos;Playas;"""Playa tranquila en Huacho ideal para descanso familiar."""
Lima;Playa Chica - Huacho;Playas;"""Pequeña playa con rocas y fuerte oleaje en Huacho."""
Lima;Playa El Paraíso;Playas;"""Extensa playa virgen con mar abierto cerca de Lima."""
Callao;Playa Cantolao;Playas;"""Playa cercana a la Escuela Naval con vista a la isla San Lorenzo."""
Áncash;Laguna 69;Lagunas;"""Famosa laguna glaciar de aguas turquesas en el Parque Nacional Huascarán."""
Junín;Cruz De La Paz De Achkamarka;Miradores;"""Cruz conmemorativa ubicada en un cerro sagrado de Huancavelica."""
Junín;Danza De La Huaconada De Mito;Música y Danzas;"""Danza ritual declarada Patrimonio Cultural de la Nación, originaria de Mito."""
Huancavelica;Bajada De Reyes De Huancavelica;Fiestas religiosas-patronales;"""Celebración que recrea la visita de los Reyes Magos en Huancavelica."""
Cusco;Bajada De Reyes En  Patacancha;Fiestas religiosas-patronales;"""Festividad andina que combina danzas y música en Ollantaytambo."""
Huancavelica;Fiesta Dulce Nombre De Jesus Y Fajardito- Baile De Los Negritos Niño Perdido.;Fiestas religiosas-patronales;"""Fiesta tradicional que mezcla danzas y coloridos trajes en Huánuco."""
Huánuco;Danza Los Negritos De Huánuco;Música y Danzas;"""Danza tradicional que representa el sincretismo andino-español en Huánuco."""
Junín;Danza De La Tunantada De Yauyos;Música y Danzas;"""Danza satírica que ridiculiza a las autoridades coloniales en Yauyos."""
La Libertad;Concurso Nacional De Marinera;Concursos;"""Competencia de marinera, baile nacional del Perú, celebrada en Trujillo."""
Lima;Playa Punta Roquitas;Playas;"""Playa limeña para surfistas ubicada en el distrito de Miraflores."""
Lima;Playa Waikiki;Playas;"""Playa urbana famosa por sus olas para practicar tabla hawaiana."""
Lima;Playa Redondo;Playas;"""Playa con rompeolas de piedra ideal para deportes acuáticos."""
Lima;Parque Federico Villarreal;Parques;"""Parque urbano en Lince con jardines y monumentos históricos."""
Junín;Capilla El Copón;Capilla;"""Capilla pequeña con retablo barroco ubicada en Arequipa."""
La Libertad;Baños Termales De Huaranchal;Otros;"""Baños termales rodeados de paisaje serrano en La Libertad."""
Pasco;Baños Termales De Tambochaca;Otros;"""Baños termales ubicados cerca del río Marañón, ideales para relajación."""
Pasco;Baños Termales De Villo;Otros;"""Pozas termales naturales con propiedades medicinales en Cajamarca."""
Lima;Fiesta Patronal San Juan Bautista De Vilca ;Fiestas religiosas-patronales;"""Fiesta patronal con procesiones y danzas en el distrito de Vilca."""
Piura;Las Dormilonas;Orfebrería;"""Danza tradicional que representa a mujeres dormidas durante fiestas patronales."""
Piura;Playa Cabo Blanco;Playas;"""Playa norteña famosa por su pesca deportiva y olas perfectas para surf."""
Piura;Puerto De Paita;Puertos;"""Principal puerto histórico del norte peruano, clave para el comercio pesquero."""
Piura;Semana Santa En Catacaos;Fiestas religiosas-patronales;"""Tradicional celebración religiosa con procesiones y artesanía en Catacaos."""
La Libertad;Festival De La Primavera De Trujillo;Festivales;"""Colorido desfile de carros alegóricos y reinas de belleza en Trujillo."""
Piura;Fiesta De La Virgen De Las Mercedes De Paita;Fiestas religiosas-patronales;"""Festividad religiosa patronal con procesiones y danzas tradicionales en Paita."""
La Libertad;Caballitos De Totora De Trujillo;Tejidos(lanas, fibras de animales, fibra vegetal. Etc);"""Embarcaciones artesanales de totora usadas por pescadores desde tiempos preincaicos."""
Áncash;Cordillera  Huayhuash;Cordillera;"""Cadena montañosa andina famosa por sus nevados y rutas de trekking."""
Lambayeque;Fiesta Religiosa De La Santísima Cruz De Chalpón De Motupe;Fiestas religiosas-patronales;"""Fiesta religiosa que venera una cruz milagrosa hallada en el cerro Chalpón."""
Lambayeque;Sombrero De Paja De Monsefú;Tejidos(lanas, fibras de animales, fibra vegetal. Etc);"""Sombrero de paja trenzada a mano, ícono del arte popular de Monsefú."""
Áncash;Sitio Arqueológico De Honcopampa;Zonas arqueológicas;"""Centro ceremonial preincaico en Áncash con restos de recintos y plazas."""
Áncash;Puyas De Winchus - Pueblo Libre;Lugares pintorescos de flora y fauna;"""Bosque altoandino único con centenarias puyas raimondi gigantes."""
Áncash;Isla Blanca;Islas;"""Isla arenosa ideal para avistamiento de aves marinas y descanso."""
Áncash;Mirador De Rataquenua;Miradores naturales;"""Mirador panorámico sobre Huaraz con vistas a la Cordillera Blanca."""
Áncash;Pueblo Histórico De Chavín De Huantar;Históricos;"""Pueblo ancestral famoso por su templo y cabezas clavas de la cultura Chavín."""
Amazonas;Catarata Gocta;Cataratas;"""Cascada de 771 metros considerada una de las más altas del mundo."""
Pasco;Santuario Nacional De Huayllay ;Santuarios Nacionales;"""Bosque de piedras de origen volcánico con formaciones caprichosas."""
Lima;Humedales De Los Pantanos De Villa ;Refugio de Vida Silvestre;"""Zona húmeda costera con aves migratorias y vegetación de totora."""
Puno;Festividad De La Virgen De La Candelaria;Fiestas religiosas-patronales;"""Una de las festividades religiosas más grandes del Perú, celebrada en Puno."""
Lima;Sitio Arqueológico Las Shicras;Templos;"""Restos arqueológicos de la cultura Lima con plataformas y recintos de adobe."""
San Martín;Reserva Ecológica Tingana;Otros;"""Área natural inundable de gran biodiversidad en la selva de San Martín."""
Cusco;Nevado De Ausangate;Nevado;"""Imponente nevado de 6,384 metros considerado sagrado por comunidades locales."""
Áncash;Carnaval En Pampas;Fiestas Tradicionales(Herranza, carnavales, otros);"""Fiesta popular con danzas y comparsas llenas de color en la sierra central."""
Áncash;Laguna Pelagatos;Lagunas;"""Laguna altoandina rodeada de ichu y aves migratorias."""
Cusco;Cataratas Las Golondrinas;Cataratas;"""Cascadas en la selva norteña rodeadas de vegetación y senderos."""
Tacna;Iglesia Virgen Del Rosario De Calana;Iglesias;"""Iglesia colonial de Calana con campanario de adobe y retablos barrocos."""
Áncash;Sitio Arqueológico De Huachaper;Otros;"""Sitio arqueológico de la cultura Tallán ubicado en Piura."""
Puno;Mirador Kolqueparque;Cerros;"""Mirador natural con vistas al valle de Azángaro en Puno."""
Puno;Baños Termales De Jathun Phutina;Ojos de agua;"""Piscinas termales de aguas sulfurosas en la sierra de Puno."""
Puno;Baños Termales Geiseres De Pinaya;Ojos de agua;"""Geiseres naturales que emergen entre las rocas en la región Puno."""
Puno;Paraíso Natural De Keñuacuyo;Lugares pintorescos de flora y fauna;"""Paisaje natural con formaciones rocosas y bosques de queñuales."""
Ayacucho;Catarata Virgen Ccasa;Cataratas;"""Cascada que cae entre farallones de roca en Apurímac."""
Ayacucho;Mirador Junín Libertad;Miradores naturales;"""Mirador con vista panorámica a la laguna y ciudad de Junín."""
Ayacucho;Pantanos De Llochegua;Pantano;"""Zona pantanosa de la selva ayacuchana con rica biodiversidad."""
Ayacucho;Mirador De Kinchaco;Miradores naturales;"""Mirador tradicional con vista al cañón de Cotahuasi en Arequipa."""
Ayacucho;Sitio Arqueológico Filo De Shilcani;Ciudadelas;"""Sitio arqueológico con petroglifos y terrazas preincaicas."""
Tacna;Cataratas De Panina;Cataratas;"""Cascadas selváticas rodeadas de vegetación densa en Amazonas."""
Cajamarca;Museo De Arte Religioso San Antonio De Padua (San Francisco);Museos;"""Museo que alberga arte religioso y objetos litúrgicos coloniales."""
Cajamarca;Ventanillas De Combayo;Cementerios;"""Conjunto de tumbas en nichos tallados en la roca por la cultura Cajamarca."""
Cajamarca;Casona Del Conde Uceda;Casa de Valor Arquitectónico;"""Mansión colonial con balcones y muros de adobe en Cajamarca."""
Cajamarca;Casona De Toribio Casanova;Casa de Valor Arquitectónico;"""Casa histórica donde nació el ilustre cajamarquino Toribio Casanova."""
Cajamarca;Centro Historico De Cajamarca;Centros Históricos;"""Centro colonial de Cajamarca con iglesias, plazas y calles empedradas."""
Cajamarca;Quebrada Las Pozas Del Chivato Huayco;Quebradas;"""Quebrada con pozas naturales formadas por el desvío del río Huayco."""
Puno;Glaciar Quelcaya - Corani;Nevado;"""Glaciar tropical más grande del mundo situado en Puno."""
Ayacucho;Valle La Glorieta;Valles;"""Valle estrecho rodeado de cerros rocosos en Huancavelica."""
Cajamarca;Laguna El Ponte;Lagunas;"""Laguna altoandina con aves acuáticas y aguas cristalinas."""
Lambayeque;Petroglifos Del Cerro Mulato;Petroglifos (Grabados en piedra);"""Petroglifos tallados en piedra que representan figuras geométricas."""
Cajamarca;Cascada De Cochicorral O Cochecorral;Cataratas;"""Cascada de varios saltos situada en la sierra norte del Perú."""
Lambayeque;Plazuela Elías Aguirre;Plazuelas;"""Plazuela colonial en Chiclayo con monumento al marino Elías Aguirre."""
Lambayeque;Palacio Municipal De Chiclayo;Palacio;"""Edificio republicano sede del gobierno local de Chiclayo."""
Lambayeque;Paseo De Las Musas;Paseos peatonales;"""Paseo peatonal adornado con esculturas de musas en Chiclayo."""
Lambayeque;Playa Media Luna;Playas;"""Playa en forma de medialuna ideal para deportes náuticos en Lambayeque."""
Lambayeque;Reserva Ecológica De Chaparrí - La Huerta De Chaparrí;Áreas de conservación privada;"""Reserva privada que protege osos de anteojos y bosques secos."""
Lambayeque;Museo Tumbas Reales De Sipán;Museos;"""Museo que exhibe el ajuar funerario del Señor de Sipán."""
Lambayeque;Feria Internacional En Honor A Santa Maria Magdalena Y Divino Niño Del Milagro Eucarístico;Fiestas religiosas-patronales;"""Feria religiosa y cultural que reúne a miles de fieles en Magdalena de Cao."""
Ayacucho;Parque De Los Héroes;Parques;"""Parque urbano en Chiclayo con bustos de próceres y jardines."""
Huánuco;Jatun Ushco;Cuevas;"""Volcán dormido con formaciones rocosas inusuales en Cajamarca."""
Ayacucho;Mirador De Waccoto ;Miradores naturales;"""Mirador con vista a las terrazas agrícolas de Cusco."""
Cajamarca;Semana Santa En Contumaza;Fiestas religiosas-patronales;"""Semana Santa celebrada con procesiones y alfombras florales en Contumazá."""
Cajamarca;Carnaval De Cajamarca;Fiestas Tradicionales(Herranza, carnavales, otros);"""El carnaval más famoso del Perú con desfiles, coplas y coloridas comparsas."""
Cajamarca;Iglesia De La Santisima Virgen Del Carmen;Iglesias;"""Iglesia colonial de adobe dedicada a la Virgen del Carmen en Cajamarca."""
Ayacucho;El Túnel Del Tren De La Asociación Agroforestal De Huaranjales;Túneles;"""Túnel ferroviario usado como sendero turístico en la región Áncash."""
Ayacucho;Sitio Arqueológico De Qatanranra;Ciudadelas;"""Sitio arqueológico preinca con recintos de piedra y andenes."""
Puno;Bosque De Rocas Gótico De Sillatira (Quelcaya - Corani);Formaciones rocosas(bosque de piedra);"""Formaciones rocosas que recuerdan a catedrales góticas en Puno."""
Ayacucho;Playa Huaylisqaqa;Ríos;"""Playa apartada de aguas tranquilas cerca de Lima."""
Cajamarca;Baños Termales La Viña Huasmin;Otros;"""Baños termales rústicos ubicados en la provincia de Celendín."""
Ucayali;Laguna Cashibococha;Lagunas;"""Laguna amazónica rodeada de vegetación exuberante cerca de Pucallpa."""
Moquegua;Museo Contisuyo - Moquegua;Museos;"""Museo que expone piezas prehispánicas y coloniales de Moquegua."""
Moquegua;Barrio De Belén De Moquegua;Barrios tradicionales;"""Barrio tradicional con casas coloniales en el centro histórico de Moquegua."""
Moquegua;Festividad De La Virgen Y Martir Santa Fortunata;Fiestas religiosas-patronales;"""Festividad religiosa en honor a la mártir romana Santa Fortunata."""
Moquegua;Playa Tronco De Oro - Ilo;Playas;"""Playa de arena fina y aguas frías en el puerto de Ilo, Moquegua."""
Huancavelica;Iglesia De San Sebastián;Iglesias;"""Iglesia colonial construida en piedra volcánica en Moquegua."""
Huancavelica;Iglesia De Santa Ana;Iglesias;"""Iglesia de adobe con torre y retablos coloniales en Moquegua."""
Puno;Laguna Consuelo;Lagunas;"""Laguna altoandina ubicada en el sur del país."""
Huancavelica;Complejo Arqueológico De Allpas;Otros;"""Complejo ceremonial preincaico de piedra en Ayacucho."""
Ucayali;Caserío 11 De Agosto ;Artesanales;"""Pequeño caserío rural en la región Cajamarca."""
Ucayali;Comunidad Nativa Santa Clara;Tradicionales;"""Comunidad amazónica que conserva tradiciones ancestrales."""
Cajamarca;Iglesia Y Convento La Recoleta;Iglesias;"""Convento franciscano con biblioteca y museos en Arequipa."""
Pasco;Monumento A La Columna De Pasco (Soldado Desconocido);Plazuelas;"""Monumento que conmemora a los caídos por la independencia en Pasco."""
Áncash;Puma Danza;Música y Danzas;"""Danza tradicional que representa al puma andino en Pasco."""
Cajamarca;Plaza De Armas De Cajamarca;Plaza;"""Plaza principal de Cajamarca rodeada de casonas coloniales."""
Cajamarca;Hacienda Tres Molinos;Granadería;"""Antigua hacienda productora de lácteos y cultivos cerca de Cajamarca."""
Tumbes;Fiesta Patronal Santa Clarita-Zorritos.;Fiestas religiosas-patronales;"""Fiesta religiosa con procesiones y música tradicional en Zorritos, Tumbes."""
Tumbes;Malecón De Puerto Pizarro;Otros;"""Malecón turístico en los manglares de Puerto Pizarro, Tumbes."""
Tumbes;Fiesta Patronal Inmaculada Concepción De Tumbes.;Fiestas religiosas-patronales;"""Festividad religiosa con danzas y cantos en honor a la Virgen en Tumbes."""
